event_id_norm,carrier_id,carrier_name,actual_receiver_id,actual_receiver_name,chosen_option_value,xpass_completion,xthreat,best_option_id,best_option_name,best_option_value,decision_gap,model_best_option_chosen
8_1,809070,E. Cox,51686.0,A. Goodwin,0.00099432,0.8286,0.0012,51646,J. Yull,0.0010556,6.128000000000015e-05,0
8_6,50959,S. Mauk,51686.0,A. Goodwin,0.00664872,0.4262,0.0156,51686,A. Goodwin,0.00664872,0.0,1
8_7,28293,Léo Sena,51000.0,J. Courtney-Perkins,0.0007656,0.957,0.0008,51000,J. Courtney-Perkins,0.0007656,0.0,1
8_8,51000,J. Courtney-Perkins,17231.0,P. Klimala,0.0023455,0.4691,0.005,17231,P. Klimala,0.0023455,0.0,1
8_10,26766,B. Vriends,809759.0,P. Kikianis,0.0,0.9953,0.0,809070,E. Cox,0.0,0.0,0
8_11,809759,P. Kikianis,973078.0,F. Talladira,9.947000000000001e-05,0.9947,0.0001,51646,J. Yull,0.0010976399999999998,0.0009981699999999998,0
8_12,973078,F. Talladira,51646.0,J. Yull,0.00035444000000000003,0.8861,0.0004,50959,S. Mauk,0.0018048,0.00145036,0
8_13,51646,J. Yull,560893.0,E. Alagich,0.00124725,0.8315,0.0015,560893,E. Alagich,0.00124725,0.0,1
8_14,560893,E. Alagich,50959.0,S. Mauk,0.0011691,0.6495,0.0018,50959,S. Mauk,0.0011691,0.0,1
8_15,51644,R. Grant,931987.0,H. Devenish-Meares,0.0,0.9988,0.0,931987,H. Devenish-Meares,0.0,0.0,1
8_16,931987,H. Devenish-Meares,795547.0,Z. de Jesus,7.826e-05,0.7826,0.0001,51644,R. Grant,0.00248475,0.00240649,0
8_17,795547,Z. de Jesus,28293.0,Léo Sena,0.00029808,0.9936,0.0003,51045,A. Cáceres,0.00076923,0.00047115,0
8_19,51644,R. Grant,931987.0,H. Devenish-Meares,0.0,0.9973,0.0,998256,K. Shaw,0.00029817,0.00029817,0
8_20,931987,H. Devenish-Meares,133852.0,C. Hollman,0.00019944,0.9972,0.0002,133852,C. Hollman,0.00019944,0.0,1
8_21,133852,C. Hollman,51644.0,R. Grant,9.947000000000001e-05,0.9947,0.0001,51644,R. Grant,9.947000000000001e-05,0.0,1
8_22,51644,R. Grant,931987.0,H. Devenish-Meares,0.0,0.9939,0.0,931987,H. Devenish-Meares,0.0,0.0,1
8_23,931987,H. Devenish-Meares,133852.0,C. Hollman,9.911e-05,0.9911,0.0001,18573,J. Lolley,0.00057276,0.00047364999999999994,0
8_24,133852,C. Hollman,28293.0,Léo Sena,0.0005891999999999999,0.982,0.0006,25534,A. Ouahim,0.00234198,0.0017527800000000002,0
8_25,28293,Léo Sena,51000.0,J. Courtney-Perkins,0.00555966,0.8298,0.0067,51000,J. Courtney-Perkins,0.00555966,0.0,1
8_26,51000,J. Courtney-Perkins,17231.0,P. Klimala,0.01209514,0.3158,0.0383,17231,P. Klimala,0.01209514,0.0,1
8_27,26766,B. Vriends,42513.0,Z. Clough,0.0006192,0.688,0.0009,42513,Z. Clough,0.0006192,0.0,1
8_28,51005,D. Pierias,42513.0,Z. Clough,0.00041952,0.6992,0.0006,50959,S. Mauk,0.00137808,0.00095856,0
8_29,51000,J. Courtney-Perkins,28293.0,Léo Sena,0.00215088,0.8962,0.0024,133852,C. Hollman,0.009751580000000001,0.007600700000000001,0
8_30,28293,Léo Sena,25534.0,A. Ouahim,0.004912830000000001,0.9633,0.0051,51045,A. Cáceres,0.0055496,0.0006367699999999992,0
8_31,25534,A. Ouahim,133852.0,C. Hollman,0.00435804,0.9474,0.0046,51045,A. Cáceres,0.0061784100000000005,0.0018203700000000008,0
8_32,133852,C. Hollman,25534.0,A. Ouahim,0.0056976299999999995,0.9657,0.0059,51000,J. Courtney-Perkins,0.00942174,0.00372411,0
8_33,25534,A. Ouahim,28293.0,Léo Sena,0.0019932,0.9966,0.002,51045,A. Cáceres,0.00859473,0.0066015299999999996,0
8_34,28293,Léo Sena,51000.0,J. Courtney-Perkins,0.00510692,0.9821,0.0052,133852,C. Hollman,0.0082719,0.0031649800000000004,0
